header.seq,header.frame_id,inputTime,pose.position.x,pose.position.y,pose.position.z,pose.orientation.w,pose.orientation.x,pose.orientation.y,pose.orientation.z
2045,1,34.0666666667,0.0002096616,3.32554675746639e-05,1.0079687876,1.14045689567406e-05,-0.7047044209,0.7095010063,-3.17943067698591e-05
2046,1,34.0833333333,0.0002085544,2.78397267128735e-05,1.0079667919,1.14197845440586e-05,-0.7048426091,0.7093637256,-3.11044697018036e-05
2047,1,34.1,0.0002073719,2.25881028627892e-05,1.0079647699,1.14317033986416e-05,-0.7049790604,0.709228118,-3.04170888926192e-05
2048,1,34.1166666667,0.0002061167,1.74979705395795e-05,1.0079627215,1.14403237052354e-05,-0.7051136837,0.7090942758,-2.97325790387099e-05
2049,1,34.1333333333,0.0002047915,1.25667038808199e-05,1.0079606465,1.14456472413432e-05,-0.7052463956,0.7089622842,-2.90513374738562e-05
2050,1,34.15,0.0002033988,7.79167816319167e-06,1.0079585447,1.14476792587096e-05,-0.7053771194,0.7088322216,-2.83737444456166e-05
2051,1,34.1666666667,0.0002019412,3.17027126388585e-06,1.007956416,1.14464283670758e-05,-0.7055057854,0.7087041597,-2.77001634025856e-05
2052,1,34.1833333333,0.0002004214,-1.30013493233108e-06,1.0079542605,1.14419064201418e-05,-0.70563233,0.7085781636,-2.70309412912655e-05
2053,1,34.2,0.0001988418,-5.62215317940319e-06,1.0079520781,1.14341284036162e-05,-0.7057566963,0.7084542926,-2.63664088614199e-05
2054,1,34.2166666667,0.000197205,-9.79838956860575e-06,1.0079498686,1.14231123251552e-05,-0.705878833,0.7083326001,-2.57068809789051e-05
2055,1,34.2333333333,0.0001955133,-1.38314422784606e-05,1.0079476323,1.14088791061977e-05,-0.7059986946,0.7082131335,-2.50526569448379e-05
2056,1,34.25,0.0001937693,-1.77239003748865e-05,1.007945369,1.13914524755138e-05,-0.706116241,0.7080959352,-2.44040208202203e-05
2057,1,34.2666666667,0.0001919753,-2.14783426605106e-05,1.0079430789,1.13708588643991e-05,-0.7062314375,0.7079810421,-2.37612417550942e-05
2058,1,34.2833333333,0.0001901337,-2.50973365720553e-05,1.0079407621,1.13471273034134e-05,-0.7063442541,0.7078684864,-2.31245743213744e-05
2059,1,34.3,0.0001882469,-2.85834371247069e-05,1.0079384186,1.13202893205425e-05,-0.7064546656,0.7077582955,-2.24942588486089e-05
2060,1,34.3166666667,0.0001863171,-3.19391859023702e-05,1.0079360486,1.12903788408114e-05,-0.7065626515,0.707650492,-2.18705217618297e-05
2061,1,34.3333333333,0.0001843467,-3.51671100927085e-05,1.0079336522,1.12574320872113e-05,-0.7066681954,0.7075450947,-2.12535759208593e-05
2062,1,34.35,0.0001823378,-3.82697215658738e-05,1.0079312295,1.12214874828756e-05,-0.7067712852,0.7074421177,-2.06436209604367e-05
2063,1,34.3666666667,0.0001802927,-4.12495159958329e-05,1.0079287809,1.11825855545200e-05,-0.7068719124,0.7073415717,-2.00408436305105e-05
2064,1,34.3833333333,0.0001782134,-4.41089720232024e-05,1.0079263064,1.11407688370676e-05,-0.7069700723,0.7072434633,-1.94454181361625e-05
2065,1,34.4,0.0001761022,-4.68505504585144e-05,1.0079238063,1.10960817794204e-05,-0.7070657639,0.7071477958,-1.88575064766626e-05
2066,1,34.4166666667,0.0001739611,-4.94766935248429e-05,1.0079212808,1.10485706513488e-05,-0.7071589892,0.707054569,-1.82772587831847e-05
2067,1,34.4333333333,0.0001717921,-5.19898241387357e-05,1.0079187302,1.09982834515897e-05,-0.7072497535,0.7069637796,-1.77048136546339e-05
2068,1,34.45,0.0001695972,-5.43923452284042e-05,1.0079161547,1.09452698170411e-05,-0.7073380651,0.7068754213,-1.71402984912859e-05
2069,1,34.4666666667,0.0001673784,-5.66866390881435e-05,1.0079135546,1.08895809330034e-05,-0.7074239348,0.706789485,-1.65838298258993e-05
2070,1,34.4833333333,0.0001651377,-5.88750667679668e-05,1.0079109302,1.08312694446494e-05,-0.7075073763,0.7067059587,-1.60355136518053e-05
2071,1,34.5,0.0001628768,-6.09599674974542e-05,1.0079082818,1.07703893695892e-05,-0.7075884057,0.7066248282,-1.54954457477961e-05
2072,1,34.5166666667,0.0001605976,-6.29436581428351e-05,1.0079056097,1.07069960115984e-05,-0.7076670412,0.7065460766,-1.49637119994697e-05
2073,1,34.5333333333,0.0001583019,-6.48284326963379e-05,1.0079029142,1.06411458755477e-05,-0.7077433035,0.7064696851,-1.44403887167485e-05
2074,1,34.55,0.0001559915,-6.66165617968620e-05,1.0079001956,1.05728965834341e-05,-0.7078172151,0.7063956326,-1.39255429474725e-05
2075,1,34.5666666667,0.0001536681,-6.83102922810417e-05,1.0078974544,1.05023067917232e-05,-0.7078888003,0.7063238961,-1.34192327866758e-05
2076,1,34.5833333333,0.0001513334,-6.99118467637938e-05,1.0078946908,1.04294361099750e-05,-0.7079580852,0.7062544508,-1.29215076813950e-05
2077,1,34.6,0.0001489889,-7.14234232474564e-05,1.0078919052,1.03543450206312e-05,-0.7080250978,0.7061872702,-1.24324087310041e-05
2078,1,34.6166666667,0.0001466363,-7.28471947586487e-05,1.007889098,1.02770948001965e-05,-0.7080898671,0.7061223264,-1.19519689827340e-05
2079,1,34.6333333333,0.0001442771,-7.41853090119975e-05,1.0078862696,1.01977474417481e-05,-0.7081524239,0.7060595898,-1.14802137223218e-05
2080,1,34.65,0.0001419129,-7.54398880998970e-05,1.0078834202,1.01163655788168e-05,-0.7082127999,0.7059990296,-1.10171607596758e-05
2081,1,34.6666666667,0.000139545,-7.66130282074868e-05,1.0078805504,1.00330124106848e-05,-0.7082710283,0.7059406138,-1.05628207094480e-05
2082,1,34.6833333333,0.000137175,-7.77067993520535e-05,1.0078776604,9.94775162908240e-06,-0.7083271431,0.7058843094,-1.01171972664733e-05
2083,1,34.7,0.0001348042,-7.87232451460754e-05,1.0078747508,9.86064734640671e-06,-0.7083811792,0.705830082,-9.68028747591603e-06
2084,1,34.7166666667,0.0001324339,-7.96643825831554e-05,1.0078718218,9.77176402542171e-06,-0.7084331727,0.7057778968,-9.25208199813709e-06
2085,1,34.7333333333,0.0001300656,-8.05322018460988e-05,1.0078688739,9.68116641051562e-06,-0.70848316,0.7057277179,-8.83256536818806e-06
2086,1,34.75,0.0001277003,-8.13286661364141e-05,1.0078659076,9.58891946041785e-06,-0.7085311785,0.7056795086,-8.42171625002279e-06
2087,1,34.7666666667,0.0001253394,-8.20557115245333e-05,1.0078629231,9.49508828268492e-06,-0.7085772661,0.7056332318,-8.01950768512010e-06
2088,1,34.7833333333,0.000122984,-8.27152468200620e-05,1.0078599209,9.39973806966035e-06,-0.7086214611,0.7055888496,-7.62590733582133e-06
2089,1,34.8,0.0001206353,-8.33091534613922e-05,1.0078569014,9.30293403599958e-06,-0.7086638023,0.7055463239,-7.24087772331183e-06
2090,1,34.8166666667,0.0001182945,-8.38392854240206e-05,1.0078538651,9.20474135812382e-06,-0.7087043289,0.7055056159,-6.86437645989681e-06
2091,1,34.8333333333,0.0001159625,-8.43074691469388e-05,1.0078508123,9.10522511510588e-06,-0.7087430802,0.7054666868,-6.49635647610276e-06
2092,1,34.85,0.0001136404,-8.47155034764727e-05,1.0078477435,9.00445023129004e-06,-0.708780096,0.7054294971,-6.13676624233712e-06
2093,1,34.8666666667,0.0001113292,-8.50651596269652e-05,1.0078446591,8.90248142068778e-06,-0.708815416,0.7053940075,-5.78554998509521e-06
2094,1,34.8833333333,0.0001090299,-8.53581811577148e-05,1.0078415594,8.79938313312827e-06,-0.7088490802,0.7053601785,-5.44264789778621e-06
2095,1,34.9,0.0001067434,-8.55962839655919e-05,1.007838445,8.69521950198457e-06,-0.7088811285,0.7053279703,-5.10799634639129e-06
2096,1,34.9166666667,0.0001044706,-8.57811562927760e-05,1.0078353161,8.59005429368176e-06,-0.7089116007,0.7052973432,-4.78152806979795e-06
2097,1,34.9333333333,0.0001022123,-8.59144587490646e-05,1.0078321733,8.48395085913699e-06,-0.7089405367,0.7052682577,-4.46317237471547e-06
2098,1,34.95,9.99693569356001e-05,-8.59978243482239e-05,1.0078290169,8.37697208676534e-06,-0.7089679762,0.7052406743,-4.15285532558221e-06
2099,1,34.9666666667,9.77425891335952e-05,-8.60328585578620e-05,1.0078258474,8.26918035722094e-06,-0.7089939589,0.7052145533,-3.85049992934978e-06
2100,1,34.9833333333,9.55327220211966e-05,-8.60211393623188e-05,1.0078226651,8.16063750005317e-06,-0.7090185239,0.7051898557,-3.55602631502104e-06
2101,1,35,9.33404747434699e-05,-8.59642173380814e-05,1.0078194705,8.05140475198335e-06,-0.7090417106,0.7051665424,-3.26935190829026e-06
2102,1,35.0166666667,9.11665338501468e-05,-8.58636157412433e-05,1.0078162639,7.94154271686544e-06,-0.7090635576,0.7051445746,-2.99039160127301e-06
2103,1,35.0333333333,8.90108112837768e-05,-8.57294772888002e-05,1.0076919123,-3.62327587470474e-06,-0.7090843266,0.7051236897,9.04578620803240e-06
2104,1,35.05,8.68736095552709e-05,-8.56536787190433e-05,1.0072097901,-4.84587851897129e-05,-0.7091042785,0.7051036213,5.52467755302726e-05
2105,1,35.0666666667,8.47581720481464e-05,-8.59117723338533e-05,1.0061445536,-0.0001461938,-0.7091234448,0.7050843173,0.0001557769
2106,1,35.0833333333,8.26716803145013e-05,-8.70071511774387e-05,1.0043129188,-0.0002636806,-0.7091424603,0.7050651211,0.0002765943
2107,1,35.1,8.06239334539128e-05,-8.95448080862073e-05,1.001657366,-0.0003552567,-0.7091614847,0.7050459027,0.0003707969
2108,1,35.1166666667,7.86242616895223e-05,-9.40557101087418e-05,0.9982099694,-0.0004191734,-0.7091798141,0.705027393,0.0004365856
2109,1,35.1333333333,7.66797949465137e-05,-0.0001009342,0.9940028028,-0.0004588702,-0.7091970722,0.7050099816,0.0004774948
2110,1,35.15,7.47955997815935e-05,-0.0001104475,0.9890674337,-0.0004781269,-0.709213039,0.7049938931,0.000497409
2111,1,35.1666666667,7.29749178522338e-05,-0.0001227502,0.9834349112,-0.000480455,-0.7092276064,0.7049792349,0.000499937
2112,1,35.1833333333,7.12194096558745e-05,-0.0001378997,0.9771357583,-0.0004690273,-0.7092407402,0.7049660375,0.0004883385
2113,1,35.2,6.95293885787272e-05,-0.0001558709,0.9701999642,-0.0004466784,-0.7092524536,0.7049542828,0.0004655249
2114,1,35.2166666667,6.79040410161422e-05,-0.0001765693,0.962656977,-0.0004159168,-0.7092627893,0.7049439228,0.0004340717
2115,1,35.2333333333,6.63416305868090e-05,-0.0001998444,0.9545356986,-0.0003789413,-0.7092718068,0.7049348931,0.0003962362
2116,1,35.25,6.48396853727352e-05,-0.000225501,0.9458644785,-0.0003376596,-0.7092795748,0.7049271207,0.0003539757
2117,1,35.2666666667,6.33951676837877e-05,-0.0002533101,0.9366711092,-0.0002937081,-0.7092861655,0.70492053,0.0003089693
2118,1,35.2833333333,6.20046262569944e-05,-0.0002830185,0.9269828228,-0.0002484725,-0.7092916516,0.7049150461,0.0002626383
2119,1,35.3,6.06643311157066e-05,-0.0003143573,0.9168262869,-0.0002031093,-0.7092961039,0.7049105964,0.0002161688
2120,1,35.3166666667,5.93703915606841e-05,-0.0003470495,0.9062276021,-0.0001585666,-0.7092995906,0.704907112,0.0001705333
2121,1,35.3333333333,5.81188579605647e-05,-0.0003808163,0.8952123,-0.0001156054,-0.7093021761,0.704904528,0.0001265121
2122,1,35.35,5.69058081629856e-05,-0.0004153827,0.8838053416,-7.48197303146080e-05,-0.7093039215,0.7049027835,8.47143110407263e-05
2123,1,35.3666666667,5.57274194662612e-05,-0.0004504819,0.8720311158,-3.66558941761678e-05,-0.7093048837,0.7049018219,4.55977405541194e-05
2124,1,35.3833333333,5.45800271794154e-05,-0.0004858593,0.85991344,-1.43133130231412e-06,-0.7093051163,0.7049015903,9.48801167183246e-06
2125,1,35.4,5.34601708589428e-05,-0.0005212751,0.8474755591,3.06481320053553e-05,-0.7093046691,0.7049020392,-2.34036432568397e-05
2126,1,35.4166666667,5.23646293468129e-05,-0.0005565069,0.8347401466,5.94720142722880e-05,-0.7093035889,0.7049031228,-5.29637142458098e-05
2127,1,35.4333333333,5.12904457485660e-05,-0.0005913508,0.8217293058,8.50101788986054e-05,-0.7093019191,0.7049047979,-7.91610386540172e-05
2128,1,35.45,5.02349434854208e-05,-0.0006256225,0.8084645708,0.0001072991,-0.7092997005,0.7049070243,-0.0001020327
2129,1,35.4666666667,4.91957345325677e-05,-0.0006591582,0.7949669089,0.0001264294,-0.7092969711,0.7049097644,-0.0001216714
2130,1,35.4833333333,4.81707209196913e-05,-0.0006918138,0.7812567229,0.0001425346,-0.7092937665,0.7049129828,-0.0001382136
2131,1,35.5,4.71580905216035e-05,-0.0007234656,0.7673538538,0.0001557813,-0.7092901201,0.7049166463,-0.0001518299
2132,1,35.5166666667,4.61563081089415e-05,-0.0007540089,0.7532775841,0.00016636,-0.7092860631,0.7049207236,-0.0001627153
2133,1,35.5333333333,4.51641025633792e-05,-0.0007833573,0.739046641,0.0001744778,-0.7092816248,0.7049251854,-0.0001710819
2134,1,35.55,4.41804510907327e-05,-0.0008114421,0.7246792009,0.0001803516,-0.7092768329,0.7049300039,-0.0001771517
2135,1,35.5666666667,4.32045611906167e-05,-0.0008382104,0.7101928934,0.0001842024,-0.7092717132,0.7049351531,-0.000181151
2136,1,35.5833333333,4.22358510646298e-05,-0.0008636244,0.6956048056,0.0001862505,-0.7092662903,0.7049406083,-0.0001833056
2137,1,35.6,4.12739290679574e-05,-0.0008876597,0.6809314873,0.0001867119,-0.709260587,0.7049463462,-0.0001838367
2138,1,35.6166666667,4.03185727331360e-05,-0.0009103042,0.6661889562,0.0001857948,-0.7092546252,0.704952345,-0.0001829575
2139,1,35.6333333333,3.93697078206795e-05,-0.0009315563,0.6513927032,0.0001836972,-0.7092484252,0.7049585838,-0.0001808709
2140,1,35.65,3.84273877802939e-05,-0.0009514241,0.636557698,0.0001806054,-0.7092420065,0.7049650431,-0.0001777677
2141,1,35.6666666667,3.74917739393124e-05,-0.0009699237,0.6216983956,0.000176692,-0.7092353874,0.7049717043,-0.0001738248
2142,1,35.6833333333,3.65631166723649e-05,-0.000987078,0.6068287416,0.0001721159,-0.7092285851,0.7049785499,-0.0001692048
