posetime,poseset,x,y,z,qx,qy,qz,qw,twistime,twistset,vx,vy,vz
1458160334.015432005,3,2.00062,1.01745,1.01182,-1.00046,-0.000328549,-0.000542765,-0.000781727,1458160334.015435895,3,0.00167772,-0.0266462,-0.00409041
1458160334.032047060,3,2.00133,1.01722,1.01206,-0.999838,-0.000418457,-0.000479112,-0.000817163,1458160334.032050651,3,0.00518218,-0.0256488,-0.00265473
1458160334.048737275,3,2.00091,1.01695,1.01173,-1.00041,-0.000243618,-0.000859558,-0.00110001,1458160334.048741055,3,0.00273774,-0.0249193,-0.00418142
1458160334.065442517,3,2.00032,1.01609,1.0111,-1.00033,0.000254707,-0.000963916,-0.0020473,1458160334.065446336,3,-0.000492566,-0.0272499,-0.00717366
1458160334.081857164,3,2.00018,1.01623,1.0112,-1.00024,-0.000311996,-0.000628433,-0.00249569,1458160334.081860479,3,-0.0012482,-0.0243624,-0.00627787
1458160334.098650241,3,1.99993,1.01742,1.01135,-1.00013,0.000157636,0.000221574,-0.00289435,1458160334.098653450,3,-0.00255554,-0.01618,-0.00518574
1458160334.115165164,3,1.99958,1.01669,1.01164,-1.00064,0.000186641,0.000446817,-0.00198149,1458160334.115168218,3,-0.00433635,-0.0182254,-0.00336594
1458160334.132191001,3,1.99939,1.01662,1.01237,-1.00023,0.00012217,0.00048055,-0.00161503,1458160334.132194865,3,-0.00515,-0.0167738,0.000610918
1458160334.148457153,3,1.99951,1.01518,1.01189,-1.00062,6.58861e-05,0.000591457,-0.00115867,1458160334.148460170,3,-0.00437724,-0.0224888,-0.00184482
1458160334.165554531,3,1.99944,1.01518,1.01145,-1.00086,-0.00051708,-0.000427695,-0.000335891,1458160334.165558900,3,-0.00455045,-0.0205286,-0.00390131
1458160334.181705500,3,1.99975,1.01534,1.0113,-1.00085,-0.000334808,-0.000582156,0.000195208,1458160334.181708094,3,-0.00281469,-0.0178727,-0.00446027
1458160334.199276633,3,1.99967,1.0148,1.01243,-1.00075,-0.000262837,-0.000476884,0.000384305,1458160334.199282119,3,-0.0031182,-0.0188919,0.00162221
1458160334.215910378,3,2.00079,1.01455,1.01215,-1.00031,0.000608054,-0.000395058,0.000467345,1458160334.215915938,3,0.00276291,-0.01839,0.000203398
1458160334.232599454,3,2.00069,1.01435,1.01225,-0.999971,0.000157492,0.000614135,0.000225841,1458160334.232604989,3,0.00211422,-0.0176801,0.000815188
