header.seq,header.frame_id,inputTime,pose.position.x,pose.position.y,pose.position.z,pose.orientation.w,pose.orientation.x,pose.orientation.y,pose.orientation.z
13,1,0.2,2.19590356797894e-11,1.04630326002180e-09,0.0336681978,7.10944108741780e-11,1.64364048810956e-06,1,-3.39476042597039e-09
14,1,0.2166666667,2.69288090839514e-11,1.28321355568201e-09,0.0389955791,5.88692766039660e-11,1.74937375122709e-06,1,-2.81348545864227e-09
15,1,0.2333333333,3.22546795487940e-11,1.53714107478483e-09,0.0446295522,4.47838413054199e-11,1.84705977696601e-06,1,-2.14337958909305e-09
16,1,0.25,3.78500299344770e-11,1.80396491887663e-09,0.0505539188,2.92957077855892e-11,1.93694585756629e-06,1,-1.40618864602096e-09
17,1,0.2666666667,4.36207538648582e-11,2.07920586686889e-09,0.0567528199,1.28605770270506e-11,2.01928551173003e-06,1,-6.23577908797206e-10
18,1,0.2833333333,4.94680733220373e-11,2.35816035405151e-09,0.0632107368,-4.07700220815837e-12,2.09433430731085e-06,1,1.83307448833115e-10
19,1,0.3,5.52912294758427e-11,2.63602848072462e-09,0.0699124929,-2.10918145586785e-11,2.16234754199364e-06,1,9.94231278479885e-10
20,1,0.3166666667,6.09900031563527e-11,2.90803397735373e-09,0.0768432539,-3.77851201282002e-11,2.22357892241688e-06,1,1.79020643986852e-09
21,1,0.3333333333,6.64670288326377e-11,3.16953440516495e-09,0.0839885286,-5.37907581116279e-11,2.27827978263891e-06,1,2.55378559639923e-09
22,1,0.35,7.16298730716633e-11,3.41612020805719e-09,0.0913341689,-6.87801946351339e-11,2.32669859586233e-06,1,3.26930197649951e-09
23,1,0.3666666667,7.63928553402928e-11,3.64370155823962e-09,0.0988663697,-8.24664984722892e-11,2.36908064735367e-06,1,3.92305965642179e-09
24,1,0.3833333333,8.06785956917733e-11,3.84858225312966e-09,0.1065716686,-9.46072514575438e-11,2.40566779760799e-06,1,4.50347330246975e-09
25,1,0.4,8.44192802486838e-11,4.02752022330597e-09,0.1144369446,-1.05006409640956e-10,2.43669829731430e-06,1,5.00115812248878e-09
26,1,0.4166666667,8.75576414153170e-11,4.17777449736351e-09,0.1224494179,-1.13515153029277e-10,2.46240663350507e-06,1,5.40897148964831e-09
27,1,0.4333333333,9.00476553423714e-11,4.29713873623695e-09,0.130596648,-1.20031759768566e-10,2.48302339571380e-06,1,5.72200886613218e-09
28,1,0.45,9.18549643335189e-11,4.38396169226696e-09,0.1388665324,-1.24500583311856e-10,2.49877515612218e-06,1,5.93755699331707e-09
29,1,0.4666666667,9.29570364538384e-11,4.43715516610996e-09,0.1472473047,-1.26910213377452e-10,2.50988436034489e-06,1,6.05500774186214e-09
30,1,0.4833333333,9.33430785786347e-11,4.45619022633224e-09,0.155727533,-1.27290897924765e-10,2.51656922714320e-06,1,6.07573715500735e-09
31,1,0.5,9.30137225435981e-11,4.44108261812737e-09,0.164296117,-1.25711330719869e-10,2.51904365619908e-06,1,6.00295419387377e-09
32,1,0.5166666667,9.19805068294035e-11,4.39236842008592e-09,0.1729422863,-1.22274904749188e-10,2.51751714337874e-06,1,5.84152390354957e-09
33,1,0.5333333333,9.02651783692813e-11,4.31107111157475e-09,0.1816555973,-1.17115542888571e-10,2.51219470312993e-06,1,5.59777019483910e-09
34,1,0.55,8.78988405912549e-11,4.19866128714060e-09,0.1904259305,-1.10393204739546e-10,2.50327679806567e-06,1,5.27926331274550e-09
35,1,0.5666666667,8.49209747705375e-11,4.05701030010599e-09,0.1992434875,-1.02289182281478e-10,2.49095927564268e-06,1,4.89459694759170e-09
36,1,0.5833333333,8.13783621380814e-11,3.88833913681869e-09,0.2080987878,-9.30012948831471e-11,2.47543331157243e-06,1,4.45316006986129e-09
37,1,0.6,7.73239340034710e-11,3.69516381646628e-09,0.2169826658,-8.27390709282758e-11,2.45688536044818e-06,1,3.96490817644998e-09
